feature,composite_score,prediction_power,selected,drop_reason
card1,0.5081748344924242,0.6917350237906916,True,
C11,0.4835035089380881,0.20701732386869143,True,
C12,0.38513882465478805,0.32743212805849153,True,
R_emaildomain,0.38502510345556534,0.3725449696627685,True,
card2,0.3821619399882042,0.4973593780198722,True,
C14,0.3670947738212942,0.18025305589919782,False,redundant
V168,0.35608334996346014,0.3699555122970897,True,
DeviceInfo,0.3560724911765553,0.29571638697851865,True,
id_13,0.35468462222799335,0.3305353741306274,True,
id_17,0.34940575669119756,0.3532667444596487,True,
V218,0.342218729722411,0.4741139628128108,True,
V219,0.3391454481895079,0.4676054502845135,False,redundant
C8,0.3349622778255681,0.36892373123608424,False,redundant
id_19,0.32997186073135765,0.3862386598465686,False,redundant
V264,0.32526781484630307,0.46011966961401995,True,
D5,0.3232676613417648,0.4894780005106615,True,
addr2,0.31912596422189393,0.2915234311643602,True,
V258,0.31701099642786124,0.48797505000382113,True,
C4,0.3140222173831763,0.3782288664770701,False,redundant
card3,0.310564006447271,0.2884150924995992,True,
V257,0.30844800041877507,0.4523454648897749,True,
V217,0.30545084697912117,0.4304936876080967,False,redundant
V178,0.30492740989829775,0.34198599722281764,False,redundant
id_20,0.30444618133263407,0.37784728633679565,False,redundant
V232,0.3017623559731303,0.42375944350336336,False,redundant
ProductCD,0.2998662596713314,0.3609560153546467,False,redundant
V265,0.29889367512865755,0.4518782716401486,True,
V274,0.2878367747337368,0.4198778412658555,True,
id_15,0.28278173107215665,0.3427327912727276,False,redundant
D2,0.2814013261092722,0.40832494566840405,True,
V179,0.2785597418793274,0.3340334819287498,False,redundant
V229,0.2777390267649567,0.42334331500891254,True,
card5,0.2757739376219427,0.29883421392041654,True,
V203,0.27383156790535285,0.3584664181992765,True,
C10,0.2735800530595867,0.3588632697407781,False,redundant
id_31,0.2731191879538756,0.36200893511205967,False,redundant
id_29,0.27265851697982846,0.3414276463378345,False,redundant
DeviceType,0.2725971667819427,0.33345687967168347,False,redundant
D3,0.2720208799739882,0.40318079847969657,True,
V199,0.2719244508471454,0.3837877107447809,True,
V263,0.27187057632507144,0.41648856292865233,True,
V167,0.27124733576437743,0.34391751445252683,False,redundant
addr1,0.2709415342486654,0.3787124594109301,False,redundant
V246,0.2698020420507928,0.41201562300804406,True,
V204,0.26950488689493574,0.3614500437941288,False,redundant
V233,0.26819217917792354,0.40659274102987086,False,redundant
V52,0.2674752096705591,0.4069349504798454,True,
V177,0.26713017189131305,0.3091167139408988,False,redundant
V51,0.26408695813887423,0.3992931022787687,False,redundant
V230,0.2620669415357479,0.40423454493111377,True,
V275,0.26176759789788834,0.40222515885955246,True,
V243,0.25976783216301547,0.3892378486120487,True,
V18,0.25657320020647123,0.3234218277048293,True,
V201,0.2563161578979051,0.39307864662582825,True,
V231,0.2542128616037829,0.38021151087658667,False,redundant
V200,0.2540358032114003,0.3685311660106738,True,
V50,0.2529058303164781,0.37271563220310977,True,
D8,0.252361844074547,0.37564451241433994,True,
V273,0.24872597677429878,0.37605503655772576,False,redundant
V202,0.24748254311605422,0.33344307142470586,False,redundant
V213,0.24742596242109427,0.33076092787501943,False,redundant
V40,0.2468068139003695,0.3779603205231403,True,
V94,0.2467846226204603,0.366958749972516,True,
V17,0.24657585127544854,0.32304439721417744,False,redundant
V58,0.2437479177070105,0.31475843766408174,True,
V39,0.24328307728213336,0.3731282542024963,True,
V42,0.240747438002065,0.36196678039849073,True,
V43,0.2404490573596148,0.3668350161860079,False,redundant
M4,0.2403384415775734,0.3407119993078458,True,
V57,0.2395219909963394,0.31115578431945434,False,redundant
id_28,0.23756917805272082,0.34025188082394897,False,redundant
V71,0.23743841846307628,0.30151045392340414,True,
V34,0.23655871992763983,0.35358112352465176,True,
V211,0.23625712230166585,0.3053518213894366,False,redundant
V92,0.23595051593292518,0.3453898366174195,True,
V149,0.2358669397859514,0.3119252913711654,True,
V33,0.23579401192340965,0.3470108512054877,False,redundant
V190,0.2356772572403529,0.3445332168692059,False,redundant
V72,0.23552741041116873,0.3053627349949801,False,redundant
V187,0.23434970799953567,0.33344981318860567,True,
V228,0.23423994239214013,0.3582070023611157,True,
V74,0.2341373677241104,0.3437853372537494,True,
V244,0.2338875584565122,0.3599176868053928,True,
V140,0.23264846420789762,0.3553298981292301,True,
V171,0.2323537507770708,0.3568342639198676,True,
V93,0.23178689585075113,0.3477358748871011,False,redundant
id_16,0.2314124920420667,0.30597768573657436,False,redundant
V73,0.23082879839539747,0.32846334762245455,False,redundant
C9,0.23073143059314744,0.28234513093527747,True,
P_emaildomain,0.23008042757973657,0.20514118623413657,True,
V48,0.2292867468439344,0.31642644564977385,True,
V79,0.22873375821501954,0.3534486380679067,True,
V242,0.2281445407822606,0.34886300321921015,False,redundant
V158,0.22735891585384702,0.3445706855876358,True,
id_12,0.22660976928341955,0.3226315494443104,False,redundant
V212,0.22653746379785947,0.33950525403972454,False,redundant
V22,0.22592232993522712,0.31787922432350246,True,
V170,0.22579114123595773,0.34401334371173053,True,
has_identity,0.225195388761065,0.3174944016537897,False,redundant
V80,0.22288056792820454,0.3345867335659132,True,
V81,0.22194149554772552,0.33780322820895203,False,redundant
V90,0.22177358346925558,0.3152108536507561,True,
V85,0.22119613732716037,0.3311683953216884,True,
V49,0.21921027355262587,0.3158905714644866,False,redundant
V156,0.2190444504782237,0.3166358399411142,False,redundant
V84,0.21816508184664038,0.3282931449226991,True,
V16,0.2170195604190387,0.3299197209386049,True,
V15,0.2169253808013028,0.32993147267447953,False,redundant
V32,0.21611475605618155,0.32379148480872955,True,
V21,0.2143853921033079,0.31779455485173713,False,redundant
V91,0.21424697401069442,0.3157779948542928,False,redundant
V31,0.21359227170118533,0.3237114387892581,False,redundant
V303,0.21305844510248514,0.3275275851660453,True,
V189,0.2124325125266015,0.3104812899650844,True,
V29,0.21180902963514417,0.3052231668566593,True,
V304,0.21069716287309756,0.3236775657702313,True,
V30,0.21017605873107506,0.30494594750154747,False,redundant
V139,0.20946955856234958,0.31998818574724086,True,
V302,0.2079815616119391,0.31905238183464624,False,redundant
C6,0.20752540199395314,0.14274299777587762,False,redundant
V70,0.20734449384047643,0.30421881203238144,True,
V155,0.20532551443003505,0.2828400029673608,False,redundant
C5,0.20347684835213975,0.2863819222629751,True,
V157,0.2033755682627935,0.3060315959289879,False,redundant
C7,0.2023523427434322,0.2971073428011848,False,redundant
V147,0.19969449906009004,0.29067193618503606,True,
V283,0.19887956988860334,0.292799585730839,True,
V60,0.19876646548486276,0.3018234226224883,True,
V69,0.19731342163836293,0.3024110649723122,False,redundant
V148,0.19554116380354916,0.2767529542344258,False,redundant
V64,0.1948391026330842,0.2973357387236468,True,
V59,0.19462906652446774,0.29706938261449634,False,redundant
V63,0.1945124079931819,0.29294362552442843,True,
V188,0.1935072556669192,0.2847154779859129,True,
D7,0.19275311781540416,0.2943236544721375,True,
V176,0.191174798752052,0.2953067030239096,True,
V332,0.1881846896778077,0.14697456189186253,False,redundant
V45,0.18731328217914656,0.28037038979071416,True,
V186,0.18706891061251826,0.28365926297913635,True,
V282,0.1853642985972158,0.2729040793168478,True,
V153,0.18428789236405532,0.24171970592101855,False,redundant
V10,0.18256811266413092,0.2760923126483802,True,
card6,0.182124385672863,0.2400779635393666,False,redundant
V11,0.1802957248592567,0.27571860843845586,False,redundant
id_33,0.17999783111334422,0.08310687916162385,True,
V154,0.1793596176088075,0.2592701311664969,False,redundant
V38,0.17822283235632094,0.25857174383999304,True,
C1,0.17604011419212592,0.22559797198144826,False,redundant
C2,0.1755744198119689,0.25969668149942393,False,redundant
D10,0.17542453414019318,0.27054669996497827,True,
id_35,0.17520026732713276,0.2639578759781901,True,
V146,0.17490873344976726,0.26616805176652436,True,
V294,0.1715652697853446,0.20899689334778704,True,
D15,0.16774537598779546,0.2557181745841687,True,
V44,0.16406151033717967,0.24804225545317649,True,
V87,0.16272371358256435,0.23766201413674515,True,
id_01,0.1606194960202513,0.2377645639447189,True,
V222,0.1592983464087698,0.21655981576663086,True,
C13,0.15257933640036003,0.23172215498984727,True,
V150,0.1515963200252055,0.19835859600913053,True,
V35,0.1492844954552846,0.21715508117596405,True,
V317,0.14850377328273445,0.2082296751272883,False,redundant
id_14,0.14782782482760282,0.053404170451781585,False,redundant
V37,0.14551434784247294,0.21000479343012057,True,
V318,0.14289160931410994,0.1833386451740815,False,redundant
V86,0.14063726706645338,0.21042987241709765,True,
V236,0.1400063473631604,0.17575418565541545,True,
V78,0.139197696803849,0.1996596060399971,True,
V323,0.13860458563494302,0.14018156649047242,False,redundant
V36,0.1370938227168425,0.21061277500274045,True,
V133,0.1365364003477027,0.17566420356827117,False,redundant
V308,0.13650668825488746,0.18238955310806415,False,redundant
V182,0.1365024629033483,0.11242132339060351,True,
V333,0.1361171069522704,0.14721245590562426,False,redundant
D1,0.135468820062047,0.19081672322403775,True,
V279,0.13343860239471758,0.16075563977269836,False,redundant
V221,0.1329426673007289,0.18139589061744577,False,redundant
id_21,0.1303905058044221,0.018451851159578148,False,weak_prediction_power
V259,0.12895299181508157,0.19315614698612782,True,
V280,0.1273415556059157,0.1832095486294354,False,redundant
id_18,0.125194909952548,0.11229741823251382,True,
V295,0.1235499374806083,0.1834330219282172,False,redundant
V277,0.12345993113925917,0.17294489279026704,True,
V248,0.12015665033221118,0.1704445243122097,True,
V293,0.11955078868163374,0.13202936778404384,False,redundant
V134,0.11856276009319786,0.16678661946326923,False,redundant
D4,0.11839557870626408,0.17986038015593164,True,
V261,0.11825043428078698,0.18122038201647062,True,
V95,0.11736504234777174,0.1662609188640749,False,redundant
V103,0.11629757907372452,0.16812787207174096,False,redundant
V77,0.11439082647546646,0.16690499133626413,True,
V102,0.11421709728914968,0.1772232123726929,False,redundant
V306,0.11332643065889564,0.16109757264672298,False,redundant
V128,0.11214033718793497,0.15666109616679225,False,redundant
V278,0.11211356783944766,0.1512569551765952,False,redundant
V75,0.10968293080086106,0.1616634086669968,True,
V12,0.10902224193942905,0.1614055160501684,True,
V126,0.10897799135544255,0.16252687021512258,False,redundant
V76,0.10737316167974786,0.1595238885925062,True,
V253,0.1064301179062377,0.13270789670474592,False,redundant
V101,0.10638527405930509,0.14305973038920805,False,redundant
V324,0.10576542800717077,0.1438940021346622,False,redundant
id_30,0.10530287908124263,0.0685906927689619,False,redundant
V262,0.1050986420920473,0.15791043269926064,True,
V53,0.10358994836209642,0.15064938419438934,True,
V97,0.10353383658006156,0.16076271820802002,False,redundant
V331,0.10344872918348261,0.11869495316616074,False,redundant
id_07,0.10309476088906995,0.17955689671888198,True,
V13,0.102393238246234,0.15503927879274382,True,
id_25,0.10161980958567657,0.01816308435404057,False,"redundant,weak_prediction_power"
V249,0.10107058545711256,0.15223014402364066,False,redundant
V237,0.10095519607459608,0.15299588311417311,False,redundant
V192,0.1005638444762754,0.1307297809507666,False,redundant
id_26,0.09979094962259426,0.014672991774906885,False,"redundant,weak_prediction_power"
V145,0.09918702541675564,0.12129600614262914,False,redundant
V245,0.0969434507647881,0.14012840044603747,True,
V316,0.09691452333620923,0.132460783838523,False,redundant
V132,0.09577345788822618,0.14188019272113794,False,redundant
V54,0.09492632490932436,0.1388124296761376,True,
V234,0.09486413843836917,0.14731013446134678,True,
V239,0.0935876850338272,0.13870042941641647,True,
id_38,0.09286804773669373,0.1296956265516559,True,
V152,0.09196239543740672,0.12469056167877857,True,
V292,0.091623434535817,0.1307857858052841,True,
V62,0.091240915790314,0.1335256579941244,True,
V247,0.08975249692610698,0.12913349799184148,True,
V276,0.08965982627769144,0.12708051192903902,False,redundant
V143,0.08915193056323562,0.05886776324368914,False,redundant
V235,0.08841753245719138,0.1284388104717642,True,
V83,0.0882629539617458,0.1246974146483728,True,
V47,0.08820328309859424,0.13158593522382733,True,
D11,0.08798987320985079,0.13513721062540374,True,
id_23,0.08754496560368152,0.012927441827310426,False,"redundant,weak_prediction_power"
V180,0.08711183937472168,0.11330979097904548,False,redundant
V322,0.085927848508728,0.11552540621968155,False,redundant
V56,0.08529066484630451,0.12862430280812598,True,
M3,0.08523997299606322,0.10926593116714944,True,
V195,0.08413050428769697,0.12551843512313066,True,
V254,0.08411207804348964,0.12179442770013349,False,redundant
id_08,0.08260081216848392,0.1456939654575421,True,
V215,0.08230537068695316,0.11193016448311166,True,
V164,0.08184393430120074,0.06601767025061278,False,redundant
V238,0.08043223128953779,0.11960972730486863,False,redundant
V193,0.07998253361897989,0.1180999931331621,False,redundant
V291,0.0790435422390789,0.11482749020281124,False,redundant
V183,0.07844412968584258,0.10731195011091721,True,
V184,0.07758704188497544,0.11948012399627195,True,
V307,0.07646297872975542,0.08360292306770045,False,redundant
V194,0.07621065814383884,0.11380086965511338,True,
V198,0.07605583388434321,0.11408404181932452,True,
V166,0.07531674467071489,0.09985153647511669,True,
M5,0.07514044767501603,0.09236552182812319,True,
V216,0.0750851216885604,0.10667620839084058,True,
id_32,0.07429554095439553,0.041668674907441305,False,redundant
V252,0.07428879525285283,0.10633678256875068,True,
V185,0.07403908531925123,0.1127539243811424,True,
V82,0.07337839843405837,0.09613442362007207,True,
V191,0.07131205634404048,0.10387832893909121,True,
id_02,0.07029221711112499,0.10541061231926707,True,
V197,0.06994948361746418,0.10515412813683245,True,
V165,0.06964243890641024,0.0881296645999825,True,
V144,0.06951839659779119,0.09627363102751563,False,redundant
V260,0.06920020731865931,0.10422438708229742,True,
V159,0.06838318449103889,0.10249998968373208,False,redundant
V24,0.06801231382065398,0.09412387623565288,True,
card4,0.06745121914569227,0.015823253411000993,False,"redundant,weak_prediction_power"
V61,0.06702730550451051,0.09940792683092647,True,
id_24,0.06610541949953336,0.012702773054873218,False,"redundant,weak_prediction_power"
V214,0.06497318276744861,0.0938223109100993,True,
id_34,0.063894739300324,0.04116652120893938,False,redundant
D14,0.06372282931885505,0.098125527326141,True,
id_06,0.06371196173292817,0.10021959602598163,True,
V23,0.06335143672740529,0.09202202684719851,True,
V181,0.06325219995217159,0.09475349941734224,True,
V196,0.060609736679552335,0.09016452764890359,False,redundant
M2,0.06018536523317945,0.08165048559087462,False,redundant
M6,0.060159487711854615,0.08258167748607403,True,
M9,0.05969886993267685,0.08177384781305252,True,
V290,0.05850650668948854,0.08906626905625514,True,
id_22,0.057146075923749116,0.013161324250398954,False,"redundant,weak_prediction_power"
V55,0.057132515545336236,0.08589756280179439,True,
dist1,0.05679768817274697,0.08544001984825322,True,
V67,0.05522503132715489,0.0821195795892955,True,
V46,0.05446478068056235,0.08373687514875106,True,
V281,0.054441564205990584,0.08268130112036398,True,
D12,0.053841370222429644,0.08201910585625116,True,
V315,0.053632081684098845,0.07218670591945342,True,
V125,0.05331753054575076,0.08004784318175595,True,
V227,0.05298638497810173,0.05872012677143168,True,
V20,0.052949249588577156,0.07666163365689282,True,
V3,0.052425763460902504,0.0764018294639941,True,
V312,0.052201472325028316,0.07749456350962602,True,
V123,0.05169907819779523,0.08022323673394127,True,
V313,0.050975762004121676,0.06835859071354311,True,
V127,0.050430474706315,0.05745520434926932,False,redundant
V272,0.05033256816348913,0.058994076784392835,True,
V162,0.05032124399736658,0.07307998628490608,True,
V99,0.05014036371793523,0.07820315701764424,True,
V130,0.04831502472935562,0.06707722365347835,True,
V287,0.048298448388881615,0.07189988664509506,True,
V268,0.04780018104240017,0.043354473352466005,True,
V163,0.04716409101766588,0.06759154342937412,False,redundant
V141,0.04703042600958161,0.06518348388247741,True,
M8,0.046421326094144795,0.068789090261269,True,
V330,0.0461436083551816,0.047627579825145316,True,
V151,0.04570137956121343,0.07162604095493741,False,redundant
V142,0.045628783386221686,0.06689058647539792,True,
V124,0.045238914466156514,0.06706860166606066,True,
V289,0.044803645658322934,0.06865298528036345,True,
V285,0.04416358180923125,0.05146172758190448,True,
V270,0.04400429205300473,0.05557107964802044,False,redundant
V271,0.04369126980811161,0.060489616839661364,False,redundant
V288,0.04361313695121637,0.06384324974411393,True,
V19,0.04346745213269693,0.06361071535238061,True,
V267,0.043203158140467705,0.05919967460264597,True,
V161,0.043122096426470864,0.06566347363792269,False,redundant
V96,0.042728473749731266,0.056307264159544124,False,redundant
V5,0.042696590614693525,0.06948330258891522,True,
V226,0.042111687862413816,0.039316941933022154,True,
V314,0.04117655010929544,0.062011745660727424,True,
V338,0.04083153282477763,0.057823239050779796,True,
V224,0.03957345295850706,0.05902302871740117,True,
V309,0.038975780459362265,0.05520243869329744,True,
V160,0.038801831352257364,0.05980185780324743,False,redundant
V339,0.03773409891560802,0.0465043212291949,True,
V284,0.037617945754954585,0.05380643989343703,True,
V225,0.03731363622741548,0.042979857600287996,False,redundant
V296,0.03571785075850225,0.03360563293347418,True,
id_36,0.035469689587129594,0.030503290616199608,False,redundant
TransactionDT,0.03516759300426728,0.044857752400171425,True,
V329,0.03501179692599631,0.058778390292329785,False,redundant
V320,0.033326504263803146,0.036055562778338324,True,
V9,0.032927025357203626,0.051600954374686925,True,
V310,0.03262093791388121,0.03762984934986646,True,
id_09,0.03228264376915984,0.04672592893023597,True,
V116,0.031286635747893116,0.044790700592635124,True,
V65,0.031017994007149406,0.00026326397612175256,False,weak_prediction_power
V105,0.030528030154681234,0.029707659684457655,False,redundant
D9,0.030467331869042526,0.04887188024026112,True,
V138,0.030134901841937657,0.0433205841564015,True,
V114,0.029724796234071527,0.04251062809702644,True,
V115,0.029552175817290725,0.04285608786458339,True,
id_03,0.029529084543421614,0.04346539735684041,True,
V66,0.02794242515532991,0.03798966184918706,True,
V298,0.027634236617466314,0.03583590975276496,False,redundant
V337,0.02734656304671596,0.03875067382760378,True,
V106,0.027034886150483307,0.028891748085613234,False,redundant
V328,0.026856424228552705,0.03951446367149347,True,
V110,0.026722150086131574,0.034056404100617055,True,
V108,0.02648543326040885,0.03342797848124679,True,
V301,0.026120866698166715,0.032896820048716746,True,
V335,0.02602918088203486,0.027968874119682408,True,
V131,0.025675665958806722,0.03457933394052248,True,
id_27,0.02551822758092878,0.012947918636332822,False,"redundant,weak_prediction_power"
V112,0.025031473119046882,0.03698168034131655,True,
V129,0.02500084719635211,0.03384895326703452,True,
V98,0.0242783702096655,0.033217060533127674,True,
V109,0.02395604671832628,0.0331378837171481,True,
V336,0.023929574334187503,0.02740871046420179,True,
V326,0.023922995328975145,0.02647011055776738,True,
V319,0.023884205213794425,0.015404311744561694,False,weak_prediction_power
V299,0.02340924191305396,0.02917916945448451,False,redundant
V321,0.023374770759330983,0.02938645355280123,True,
id_37,0.02280147725351129,0.03687247530308824,False,redundant
V251,0.022644758579646856,0.0316560470761762,True,
V174,0.022448776443829338,0.022346770661038073,True,
V137,0.022223093288053906,0.028768254236168467,True,
V175,0.022177752635747068,0.02343569273131263,True,
V136,0.02161964197791015,0.029806930891434824,True,
V220,0.021143731962825825,0.03053213356945239,True,
V300,0.02089425627825462,0.023736864078485853,True,
M1,0.020792558844903906,6.377578135952078e-05,False,"redundant,weak_prediction_power"
V7,0.02062806407357334,0.03499794317182947,True,
V210,0.020370399483111888,0.02424460460018052,True,
V208,0.02036343812828011,0.022392657651910675,True,
V209,0.020051186615132215,0.02055790014766079,True,
V100,0.019352828694765845,0.030608181242189003,True,
V327,0.019092833929010667,0.02658881533503088,True,
V256,0.01883338724192566,0.025934014553422813,True,
V207,0.018216815005082723,0.0017650002798812459,False,weak_prediction_power
M7,0.018143885232486216,0.014337187697019749,False,weak_prediction_power
V169,0.01757716332825042,0.02710744000600651,True,
V2,0.01756938949119048,0.02615850990268176,True,
D6,0.015979202825874436,0.027152971419830196,True,
D13,0.015832246727774835,0.024886507927279644,True,
V297,0.015799645695226336,0.015349950011800617,False,weak_prediction_power
id_05,0.014851010778530755,0.022964979231796967,True,
V4,0.014724504664713093,0.025396524591710268,True,
V88,0.014482750515311352,0.00018339819003720947,False,weak_prediction_power
V104,0.014239949442281769,0.020732030816255076,True,
V269,0.014011980607891989,0.0056784827076110655,False,weak_prediction_power
TransactionAmt,0.013916213316698827,0.004418335837488074,False,weak_prediction_power
V27,0.013898747229461737,0.0007820157795787042,False,weak_prediction_power
V135,0.01379593154040756,0.0205277827331265,True,
V206,0.013608168511373994,0.015331158064078587,False,weak_prediction_power
id_04,0.013439089137411842,0.013349119174713708,False,weak_prediction_power
V89,0.013426820135354088,0.000871240542092977,False,weak_prediction_power
V28,0.013043891307021901,0.0007846939158101529,False,"redundant,weak_prediction_power"
V173,0.011810799271252203,0.015321606503744811,False,weak_prediction_power
V8,0.010571710907749332,0.016309931483675655,False,weak_prediction_power
V250,0.010303253754912686,0.015022426532322664,False,"redundant,weak_prediction_power"
V255,0.010294451518624877,0.015322598616676286,False,"redundant,weak_prediction_power"
V6,0.009482588027284793,0.011444250580130433,False,weak_prediction_power
V266,0.009159073776849831,0.007718036522731397,False,"redundant,weak_prediction_power"
V26,0.008550895679024666,0.012972845704607439,False,weak_prediction_power
V68,0.00834068179697821,0.000503886357544947,False,weak_prediction_power
V172,0.007651280804261894,0.006528662497502946,False,weak_prediction_power
id_11,0.007330887066723077,0.0040229496177814905,False,weak_prediction_power
V311,0.007182450607013107,0.005276412470519354,False,weak_prediction_power
V286,0.0067773328468460755,0.00517488334954308,False,weak_prediction_power
V334,0.006442225956802922,0.007970838448568829,False,weak_prediction_power
V223,0.006168284797421523,0.007660376810897596,False,weak_prediction_power
V14,0.0055709314106917995,0.00027035315800061355,False,weak_prediction_power
V325,0.004999323704993083,0.00747381393586366,False,weak_prediction_power
V205,0.004450860662581882,0.006153597737998728,False,weak_prediction_power
V25,0.003578648194714331,0.0016918669492398397,False,weak_prediction_power
id_10,0.003511218069244828,0.0035767764686227554,False,weak_prediction_power
dist2,0.002886526413632115,0.011694879446373485,False,weak_prediction_power
V1,0.002177260311745273,3.489746688001283e-05,False,"redundant,weak_prediction_power"
V241,0.0013286127744535116,0.00047137351742931877,False,weak_prediction_power
V41,0.0012875302302519497,0.0006520122349364943,False,weak_prediction_power
V240,0.0005443832054967675,0.0010210931582055327,False,weak_prediction_power
V121,0.0,0.004456722708884087,False,"near_constant,weak_prediction_power"
V305,0.0,7.019185774503889e-06,False,"near_constant,weak_prediction_power"
V113,0.0,0.03550140154885617,False,near_constant
V122,0.0,0.004656811554472506,False,"near_constant,weak_prediction_power"
V107,0.0,0.0002580798051388111,False,"near_constant,weak_prediction_power"
V120,0.0,0.004018870793102591,False,"near_constant,weak_prediction_power"
V119,0.0,0.009181138159967128,False,"near_constant,weak_prediction_power"
V118,0.0,0.008576257268307463,False,"near_constant,weak_prediction_power"
V117,0.0,0.009127325785357021,False,"near_constant,weak_prediction_power"
V111,0.0,0.03532423786072436,False,near_constant
C3,0.0,0.00411987829515581,False,"near_constant,weak_prediction_power"
