feature,signed_auc,prediction_power
V332,0.14697456189186253,0.14697456189186253
id_08,-0.1456939654575421,0.1456939654575421
V324,0.1438940021346622,0.1438940021346622
V101,0.14305973038920805,0.14305973038920805
C6,0.14274299777587762,0.14274299777587762
V132,0.14188019272113794,0.14188019272113794
V323,0.14018156649047242,0.14018156649047242
V245,0.14012840044603747,0.14012840044603747
V54,-0.1388124296761376,0.1388124296761376
V239,0.13870042941641647,0.13870042941641647
D11,-0.13513721062540374,0.13513721062540374
V62,0.1335256579941244,0.1335256579941244
V253,0.13270789670474592,0.13270789670474592
V316,0.132460783838523,0.132460783838523
V293,0.13202936778404384,0.13202936778404384
V47,0.13158593522382733,0.13158593522382733
V292,0.1307857858052841,0.1307857858052841
V192,0.1307297809507666,0.1307297809507666
id_38,-0.1296956265516559,0.1296956265516559
V247,0.12913349799184148,0.12913349799184148
V56,0.12862430280812598,0.12862430280812598
V235,0.1284388104717642,0.1284388104717642
V276,0.12708051192903902,0.12708051192903902
V195,0.12551843512313066,0.12551843512313066
V83,0.1246974146483728,0.1246974146483728
V152,0.12469056167877857,0.12469056167877857
V254,0.12179442770013349,0.12179442770013349
V145,0.12129600614262914,0.12129600614262914
V238,0.11960972730486863,0.11960972730486863
V184,0.11948012399627195,0.11948012399627195
V331,0.11869495316616074,0.11869495316616074
V193,0.1180999931331621,0.1180999931331621
V322,0.11552540621968155,0.11552540621968155
V291,0.11482749020281124,0.11482749020281124
V198,0.11408404181932452,0.11408404181932452
V194,0.11380086965511338,0.11380086965511338
V180,0.11330979097904548,0.11330979097904548
V185,0.1127539243811424,0.1127539243811424
V182,0.11242132339060351,0.11242132339060351
id_18,0.11229741823251382,0.11229741823251382
V215,0.11193016448311166,0.11193016448311166
M3,-0.10926593116714944,0.10926593116714944
V183,0.10731195011091721,0.10731195011091721
V216,0.10667620839084058,0.10667620839084058
V252,0.10633678256875068,0.10633678256875068
id_02,0.10541061231926707,0.10541061231926707
V197,0.10515412813683245,0.10515412813683245
V260,0.10422438708229742,0.10422438708229742
V191,0.10387832893909121,0.10387832893909121
V159,-0.10249998968373208,0.10249998968373208
id_06,-0.10021959602598163,0.10021959602598163
V166,0.09985153647511669,0.09985153647511669
V61,0.09940792683092647,0.09940792683092647
D14,0.098125527326141,0.098125527326141
V144,0.09627363102751563,0.09627363102751563
V82,0.09613442362007207,0.09613442362007207
V181,0.09475349941734224,0.09475349941734224
V24,0.09412387623565288,0.09412387623565288
V214,0.0938223109100993,0.0938223109100993
M5,0.09236552182812319,0.09236552182812319
V23,0.09202202684719851,0.09202202684719851
V196,0.09016452764890359,0.09016452764890359
V290,0.08906626905625514,0.08906626905625514
V165,0.0881296645999825,0.0881296645999825
V55,0.08589756280179439,0.08589756280179439
dist1,0.08544001984825322,0.08544001984825322
