model,roc_auc,pr_auc,precision,recall,f1
rules_based,0.5045419549903538,0.047703756497257076,0.9591836734693877,0.009097948122338367,0.01802492809204219
decision_tree,0.7643437361587857,0.16572750955843923,0.09962444924150575,0.6521486643437863,0.17284457327553038
random_forest,0.8112938782857305,0.2929638630302751,0.11081706913661925,0.64847077042199,0.18928692507627978
neural_network,0.7665408547815743,0.1580412202021276,0.10042446459579395,0.6045296167247387,0.17223692918596958
random_contender,0.5000301809175421,0.034665518791249184,0.0,0.0,0.0
